date_time,visibility
2023-12-23 09:30:00+00:00,10.0
2023-12-23 09:40:00+00:00,10.0
2023-12-23 09:50:00+00:00,10.0
2023-12-23 10:00:00+00:00,10.0
2023-12-23 10:10:00+00:00,10.0
2023-12-23 10:20:00+00:00,10.0
2023-12-23 10:30:00+00:00,10.0
2023-12-23 10:40:00+00:00,10.0
2023-12-23 10:50:00+00:00,10.0
2023-12-23 11:00:00+00:00,10.0
2023-12-23 11:10:00+00:00,10.0
2023-12-23 11:20:00+00:00,10.0
2023-12-23 11:30:00+00:00,10.0
2023-12-23 11:40:00+00:00,10.0
2023-12-23 11:50:00+00:00,10.0
2023-12-23 12:00:00+00:00,10.0
2023-12-23 12:10:00+00:00,10.0
2023-12-23 12:20:00+00:00,10.0
2023-12-23 12:30:00+00:00,7.84
2023-12-23 12:40:00+00:00,9.99
2023-12-23 12:50:00+00:00,7.62
2023-12-23 13:00:00+00:00,4.65
2023-12-23 13:10:00+00:00,6.35
2023-12-23 13:20:00+00:00,6.91
2023-12-23 13:30:00+00:00,10.0
2023-12-23 13:40:00+00:00,6.73
2023-12-23 13:50:00+00:00,4.01
2023-12-23 14:00:00+00:00,2.02
2023-12-23 14:10:00+00:00,3.08
2023-12-23 14:20:00+00:00,5.37
2023-12-23 14:30:00+00:00,4.22
